award_show,category,year,winner,film,notes
Lux Style Awards,Best Achievement in Fashion Design - Lawn,2016,Faraz Manan,,Elan Sana Safinaz Sania Maskatiya Zara Shahjahan
Lux Style Awards,Best Achievement in Fashion Design - Bridal,2016,Faraz Manan,,Ali Xeeshan Elan Shehla Chatoor The House of Kamiar Rokni
Lux Style Awards,Best Designer Menswear,2016,Amir Adnan,,Ahmed Bham Hassan Sheheryar Yasin Nauman Arfeen Omar Farooq for Republic
Lux Style Awards,Best Emerging Talent in Fashion,2016,Alee Hasan,Photography,Ammara Khan – Designer Anum Malik – Model Hira Shah – Model Zara Abid – Model
Lux Style Awards,Best Film,2017,,Actor in Law,"- Fizza Ali Meerza and Medhi Ali Dobara Phir Se - Salman Iqbal and Mohammad Jerjees Seja Ho Mann Jahaan - Sheheryar Munawar and Asim Raza Janaan - Hareem Farooq, Imran Raza Kazmi, Munir Hussain and Re"
Lux Style Awards,Best Director,2017,Nabeel Qureshi,Actor in Law,Anjum Shahzad - Mah e Mir Asim Raza - Ho Mann Jahaan Azfar Jafri - Janaan Mehreen Jabbar - Dobara Phir Se Wajahat Rauf - Lahore Se Aagey
Lux Style Awards,Best Actor,2017,Fahad Mustafa,Actor in Law,as Shaan Mirza Ashir Azeem –Maalik as Major Asad Fahad Mustafa –Mah e Mir as Jamal/Mir Mohib Mirza –Bachaana as Waqar or Vicky Yasir Hussain –Lahore Se Aagey as Mutazalzal a.k.a. Moti
Lux Style Awards,Best Actress,2017,Mahira Khan,Ho Mann Jahaan,as Manizeh Mehwish Hayat –Actor in Law as Meena Screwala Saba Qamar –Lahore Se Aagey as Taraa Ahmed Sajal Ali –Zindagi Kitni Haseen Hai as Mahira Khan Sanam Saeed –Bachaana as Aalia
Lux Style Awards,Best Supporting Actor,2017,Sheheryar Munawar,Ho Mann Jahaan,as Arhan Ali Kazmi – Dobara Phir Se as Vasay Ali Rehman Khan – Janaan as Daniyal Manzar Sehbai – Mah e Mir as Doctor Kaleem Om Puri – Actor in Law as Rafaqat Mirza
Lux Style Awards,Best Supporting Actress,2017,Sanam Saeed,Dobara Phir Se,as Samar Hania Aamir – Janaan as Palwasha Saboor Ali – Actor in Law as Annie Mirza Sonya Jehan – Ho Mann Jahaan as Sabina Tooba Siddiqui – Dobara Phir Se
Lux Style Awards,Best Playback Singer - Male,2017,Atif Aslam,"Dil Dancer"" Actor in Law","Armaan Malik – ""Janaan Title Track"" Janaan Asrar – ""Funkaran"" Actor in Law Rajab Ali – ""Yeh Dhuan"" Mah e Mir Shafqat Amanat Ali – ""Piya Dekhan Ko"" Mah e Mir"
Lux Style Awards,Best Playback Singer - Female,2017,Aima Baig,"Kalabaaz Dil"" Lahore Se Aagey","Haniya Aslam – ""Lar Gaiyyan"" Dobara Phir Se Masuma Anwar – ""Naina Roye"" Maalik Shreya Ghoshal – ""Janaan Title Track"" Janaan Zeb Bangash – ""Dil Pagal"" Ho Mann Jahaan"
Lux Style Awards,Best Television Play,2017,Dil Lagi (ARY Digital),,Besharam (ARY Digital) Mann Mayal (Hum TV) Mein Sitara (TV One) Udaari (Hum TV)
Lux Style Awards,Best Television Director,2017,Mohammed Ehteshamuddin,Udaari (Hum TV),Farooq Rind - Besharam (ARY Digital) Haseeb Hassan - Mann Mayal (Hum TV) Kashif Nisar - Dumpukht (A Plus) Nadeem Baig - Dil Lagi (ARY Digital)
Lux Style Awards,Best Television Actor,2017,Ahsan Khan,Udaari (Hum TV),Humayun Saeed – Dil Lagi (ARY Digital) Faysal Qureshi – Bheegi Palkein (A Plus) Noman Ejaz –Dumpukht (A Plus) Zahid Ahmed – Besharam (ARY Digital)
Lux Style Awards,Best Television Actress,2017,Maya Ali,Mann Mayal (Hum TV),Mehwish Hayat – Dil Lagi (ARY Digital) Saba Qamar – Mein Sitara (TV One) Sajjal Ali – Gul-e-Rana (Hum TV) Saba Qamar-Besharam (ARY Digital)
Lux Style Awards,Best Television Writer,2017,Farhat Ishtiaq,Udaari (Hum TV),Faiza Iftikhar - Dil Lagi (ARY Digital) Samira Fazal - Mann Mayal (Hum TV) Sarwat Nazir - Besharam (ARY Digital) Zafar Mairaj - Dumpukht (A Plus)
Lux Style Awards,Best Original Soundtrack,2017,Tere Naal Me,Laiyan,by Qurat-ul-Ain Balouch - Mann Mayal (Hum TV)) Damia Farooq - Sun Yaara (ARY Digital) Hadiqa Kiani - Udaari (Hum TV) Nabeel Shaukat Ali – Hatheli (Hum TV) Rahat Fateh Ali Khan – Yeh Ishq (ARY Digital)
Lux Style Awards,Best Album Of the Year,2017,Na Bhulana,Uzair Jaswal,Book of Sibt – Sibti Indus Raag 2 – Shareef Awan Peheli – Mooroo You: – The Sketches
Lux Style Awards,Best Song of the Year,2017,Saiyaan,Qurat-ul-Ain Balouch,Baarish – Tonight Us and Jimmy Khan Haiyyah – Sibti Khak Nasheen – Chand Tara Orchestra Khaki Banda – Umair Jaswal and Ahmed Jahanzeb
Lux Style Awards,Best Music Video Director,2017,Kamal Khan,Ho Jao Azad by Zoe Viccaji,Abdullah Haris – Sag-e-Ali by Asrar Aisha Linea Akhtar and Shahbaz Shigri – Le chaloon by Salman Shaukat Kamal Khan – The Desert Journey by D/A Method Shahab Qamar – Hero by Naseer & Shahab
Lux Style Awards,Best Emerging Talent in Music,2017,Hamza Akram Qawwal,,Bilal Nasir Khan Natasha Baig Shehroz Hussain SomeWhatSuper
Lux Style Awards,Best Model of the Year - Male,2017,Hasna,Lehri,Champ Imi Animal Khan Jahan-e-Khalid Shahzad Noor Waleed Khalid
Lux Style Awards,Best Model of the Year - Female,2017,Sadaf Kanwal,,Amna Babar Anam Malik Rabia Butt Zara Abid
Lux Style Awards,Best Fashion Photographer,2017,Shahbaz Shazi,,Abdullah Harris Ali Hassan Guddu Shani Nadir Feroz Khan & Maha Burney
Lux Style Awards,Best Hair and Makeup Artist,2017,Saima Rashid Bargfed,,Natasha Khalid Omayr Waqar Shammal Qureshi Shazia Rashid
Lux Style Awards,Best Achievement in Fashion Design - Luxury Prèt,2017,Shehla Chatoor,,Mahgul Sana Safinaz Sania Maskatiya Shamaeel Ansari
Lux Style Awards,Best Achievement in Fashion Design - Prèt,2017,Generation,,Coco by Zara Shahjahan Khaadi Sana Safinaz Sapphire
Lux Style Awards,Best Achievement in Fashion Design - Lawn,2017,Elan,,Faraz Manan Sana Safinaz Shehla Chatoor Zara Shahjahan
Lux Style Awards,Best Achievement in Fashion Design - Bridal,2017,Faraz Manan,,Ali Xeeshan Elan Mughal The House of Kamiar Rokni
Lux Style Awards,Best Designer Menswear,2017,Ismail Farid,,Ahmed Bham Amir Adnan Hassan Sheheryar Yasin Nauman Arfeen
Lux Style Awards,Best Emerging Talent in Fashion,2017,Hira Shah,Model,Aashna Khan – Photographer Giti Ara – Model Imaan Madani – Model The Pink Tree company – Designer
Lux Style Awards,Name(s),2017,Noman Ijaz,,
Lux Style Awards,Role,2017,Presenter of the awards,Best Television Play and Best Television Director,
Lux Style Awards,Name(s),2017,Mahira KhanBilal Lashari,,
Lux Style Awards,Role,2017,Presenters of the award,Best Director (films),
Lux Style Awards,Name(s),2017,Performer,,
Lux Style Awards,Role,2017,Qaumi Taranah,,
Lux Style Awards,Role,2017,Baarish,,
Lux Style Awards,Role,2017,Ho Jao Azad,,
Lux Style Awards,Best Film Punjab Nahi Jaungi Balu Mahi Chupan Chupai Na Maloom Afraad 2 Verna,2018,,Best Film,Punjab Nahi Jaungi Balu Mahi Chupan Chupai Na Maloom Afraad 2 Verna
Lux Style Awards,Best Director Nadeem Baig - Punjab Nahi Jaungi Haisaam Hussain - Balu Mahi Mohsin Ali - Chupan Chupai Nabeel Qureshi - Na Maloom Afraad 2 Shoaib Mansoor - Verna,2018,Best Director,,Nadeem Baig - Punjab Nahi Jaungi Haisaam Hussain - Balu Mahi Mohsin Ali - Chupan Chupai Nabeel Qureshi - Na Maloom Afraad 2 Shoaib Mansoor - Verna
Lux Style Awards,Best Film Punjab Nahi Jaungi Balu Mahi Chupan Chupai Na Maloom Afraad 2 Verna,2018,,Best Actor,Humayun Saeed - Punjab Nahi Jaungi Ahsan Khan - Chupan Chupai Fahad Mustafa - Na Maloom Afraad 2 Mohsin Abbas - Na Maloom Afraad 2 Osman Khalid Butt - Balu Mahi
Lux Style Awards,Best Director Nadeem Baig - Punjab Nahi Jaungi Haisaam Hussain - Balu Mahi Mohsin Ali - Chupan Chupai Nabeel Qureshi - Na Maloom Afraad 2 Shoaib Mansoor - Verna,2018,Best Actress,,Mahira Khan - Verna Ainy Jaffri - Balu Mahi Mehwish Hayat - Punjab Nahi Jaungi Uzma Hasan - Arth 2 Neelum Muneer - Chupan Chupai
Lux Style Awards,Best Film Punjab Nahi Jaungi Balu Mahi Chupan Chupai Na Maloom Afraad 2 Verna,2018,,Best Supporting Actor,Javed Sheikh - Na Maloom Afraad 2 Ali Rizvi - Chupan Chupai Faizan Khawaja - Chupan Chupai Sohail Ahmed - Punjab Nahi Jaungi Gohar Rasheed - Rangreza
Lux Style Awards,Best Director Nadeem Baig - Punjab Nahi Jaungi Haisaam Hussain - Balu Mahi Mohsin Ali - Chupan Chupai Nabeel Qureshi - Na Maloom Afraad 2 Shoaib Mansoor - Verna,2018,Best Supporting Actress,,Urwa Hocane - Punjab Nahi Jaungi Durdana Butt - Balu Mahi Humaima Mallick - Arth 2 Sadaf Kanwal - Balu Mahi Zhalay Sarhadi - Chalay Thay Saath
Lux Style Awards,Best Film Punjab Nahi Jaungi Balu Mahi Chupan Chupai Na Maloom Afraad 2 Verna,2018,,Best Singer Male,Rahat Fateh Ali Khan - ‘Sawaar De’ from Arth 2 Adnan Dhool - ‘Sadqa’ from Chupan Chupai Haroon Shahid - ‘Sambhal Sambhal’ from Verna Mohsin Haider Abbas - ‘Heeray’ from Na Maloom Afraad 2 Sahir Ali Ba
Lux Style Awards,Best Director Nadeem Baig - Punjab Nahi Jaungi Haisaam Hussain - Balu Mahi Mohsin Ali - Chupan Chupai Nabeel Qureshi - Na Maloom Afraad 2 Shoaib Mansoor - Verna,2018,Best Singer Female,,Aima Baig - ‘Sadqa’ from Chupan Chupai Aima Baig - ‘Kaif O Soroor’ from Na Maloom Afraad 2 Jonita Gandhi - ‘Baqiya’ from Rangreza Nirmal Roy - ‘Raunaq-e- Aashiqui’ from Punjab Nahi Jaungi Sana Zulfiqa
Lux Style Awards,Album Of The Year Wajd - Hadiqa Kiani 36 - Sikander ka Mandar 600 Saal - E Sharp Elhaam - Sounds of Kolachi Fanoos - Zohaib Kazi,2018,Album Of The Year,,Wajd - Hadiqa Kiani 36 - Sikander ka Mandar 600 Saal - E Sharp Elhaam - Sounds of Kolachi Fanoos - Zohaib Kazi
Lux Style Awards,"Singer Of The Year Ali Hamza, Ali Sethi and Waqar Ehsan - ‘Tanak Dhin’ Abid Brohi - ‘The Sibbi Song’ Ali Azmat and Qurat ul Ain Baluch - ‘Chal Diye’ Lyari Underground - ‘Players of Lyari’ Riaz Qadri and Zohaib Kazi - ‘Takht Hazar’",2018,Singer Of The Year,,"Ali Hamza, Ali Sethi and Waqar Ehsan - ‘Tanak Dhin’ Abid Brohi - ‘The Sibbi Song’ Ali Azmat and Qurat ul Ain Baluch - ‘Chal Diye’ Lyari Underground - ‘Players of Lyari’ Riaz Qadri and Zohaib Kazi - ‘T"
Lux Style Awards,Album Of The Year Wajd - Hadiqa Kiani 36 - Sikander ka Mandar 600 Saal - E Sharp Elhaam - Sounds of Kolachi Fanoos - Zohaib Kazi,2018,Best Music Video Director,,Raza Shah - ‘The Sibbi Song’ Qamar Anwer - ‘Kasani’ Sana Jaffri - ‘Madam’ Taimoor Salahuddin - ‘Chan Kithan’ Waleed Ahmed - ‘Super Cat
Lux Style Awards,"Singer Of The Year Ali Hamza, Ali Sethi and Waqar Ehsan - ‘Tanak Dhin’ Abid Brohi - ‘The Sibbi Song’ Ali Azmat and Qurat ul Ain Baluch - ‘Chal Diye’ Lyari Underground - ‘Players of Lyari’ Riaz Qadri and Zohaib Kazi - ‘Takht Hazar’",2018,Best Emerging Talent,,Kashmir Abdullah Siddiqui Badnaam Keeray Makoray Roots
Lux Style Awards,Best Television Play,2018,Baaghi (Urdu 1),,Muqabil (ARY Digital) O Rangreza (Hum TV) Sang-e-Mar Mar (Hum TV) Alif Allah Aur Insaan (Hum TV)
Lux Style Awards,Best Television Director,2018,Saif,e-Hassan - Sang-e-Mar Mar (Hum TV),Farooq Rind - Baaghi (Urdu 1) Saife Hassan - Sammi (Hum TV) Kashif Nisar - O Rangreza (Hum TV) Aehsun Talish - Alif Allah Aur Insaan (Hum TV)
Lux Style Awards,Best Television Actor,2018,Ahad Raza Mir,Yaqeen Ka Safar (Hum TV),Adnan Siddiqui – Sammi (Hum TV) Imran Abbas – Khuda Aur Mohabbat (season 2) (Geo TV) Noman Ejaz – Pinjra (A Plus) Mohsin Abbas Haider – Muqabil (ARY Digital)
Lux Style Awards,Best Television Actress,2018,Saba Qamar,Baaghi (Urdu 1),Sajal Aly – Yaqeen Ka Safar (Hum TV) Sajal Aly – O Rangreza (Hum TV) Kubra Khan – Muqabil (ARY Digital) Bushra Ansari-Seeta Bagri (TV One)
Lux Style Awards,Best Television Writer,2018,Mustafa Afridi,Sang-e-Mar Mar (Hum TV),Noorul Huda Shah - Sammi (Hum TV) Qaisra Hayat - Alif Allah Aur Insaan (Hum TV) Saji Gul - O Rangreza (Hum TV) Zafar Mairaj - Muqabil (ARY Digital)
Lux Style Awards,Best Television Track,2018,Shuja Haider,Baaghi (Urdu 1),Adnan Dhool & Sana Zulfiqar - Bay Khudi (ARY Digital) Jimmy Khan - Tumhare Hain (ARY Digital) Nabeel Shaukat Ali – Woh Aik Pal (Hum TV) Sahir Ali Bagga – O Rangreza (Hum TV)
Lux Style Awards,Model Of The Year - Male Hasnain Lehri Aimal Khan Champ Imi Omer Shahzad Shahzad Noor,2018,Model Of The Year,Male,Hasnain Lehri Aimal Khan Champ Imi Omer Shahzad Shahzad Noor
Lux Style Awards,Model Of The Year - Female Amna Babar Anam Malik Hira Shah Sadaf Kanwal Zara Abid,2018,Model Of The Year,Female,Amna Babar Anam Malik Hira Shah Sadaf Kanwal Zara Abid
Lux Style Awards,Model Of The Year - Male Hasnain Lehri Aimal Khan Champ Imi Omer Shahzad Shahzad Noor,2018,Achievement In Fashion Design,Pret,Sana Safinaz Chapter 2 by Khaadi Cross Stitch Generation Sapphire
Lux Style Awards,Model Of The Year - Female Amna Babar Anam Malik Hira Shah Sadaf Kanwal Zara Abid,2018,Achievement In Fashion Design,Luxury Pret,Sania Maskatiya Elan Mahgul Misha Lakhani Shamaeel Ansari
Lux Style Awards,Model Of The Year - Male Hasnain Lehri Aimal Khan Champ Imi Omer Shahzad Shahzad Noor,2018,Achievement In Fashion Design,Bridal,Sana Safinaz Ali Xeeshan Elan Faraz Manan Mahgul
Lux Style Awards,Model Of The Year - Female Amna Babar Anam Malik Hira Shah Sadaf Kanwal Zara Abid,2018,Achievement In Fashion Design,Lawn,Elan Mahgul Sana Safinaz Shehla Chatoor Zara Shahjahan
Lux Style Awards,Model Of The Year - Male Hasnain Lehri Aimal Khan Champ Imi Omer Shahzad Shahzad Noor,2018,Best Menswear Designer,,Republic by Omar Farooq Amir Adnan Deepak and Fahad Deepak Perwani HSY
Lux Style Awards,Model Of The Year - Female Amna Babar Anam Malik Hira Shah Sadaf Kanwal Zara Abid,2018,Best Hair & Makeup Artist,,Qasim Liaqat Fatima Nasir Hannan Siddique Saima Rashid Shoaib Khan
Lux Style Awards,Model Of The Year - Male Hasnain Lehri Aimal Khan Champ Imi Omer Shahzad Shahzad Noor,2018,Best Fashion Photographer,,Rizwan ul Haq Abdullah Haris Alee Hassan Nadir Firoz Khan Shahbaz Shazi
Lux Style Awards,Model Of The Year - Female Amna Babar Anam Malik Hira Shah Sadaf Kanwal Zara Abid,2018,Best Emerging Talent,,Saheefa Jabbar Khatak (Model) Fahmeen Ansari (Model) Hussain Rehar (Designer) Javeria Hanif (Model) MHM Photography (Photographer)
Lux Style Awards,Best Film,2019,,Cake-Syed Zulfikar Bukhari,"Jawani Phir Nahi Ani 2-Salman Iqbal, Humayun Saeed and Shahzad Nasib Load Wedding-Fizza Ali Meerza Motorcycle Girl-Adnan Sarwar Teefa in Trouble-Ali Zafar"
Lux Style Awards,Best Film Director,2019,Ahsan Rahim,Teefa in Trouble,Asim Abbasi - Cake Haseeb Hassan-Parwaaz Hai Junoon Nabeel Qureshi-Load Wedding Nadeem Baig-Jawani Phir Nahi Ani 2
Lux Style Awards,Best Film Actor,2019,Viewers' Choice: Ali Zafar,Teefa in Trouble Critics' Choice: Fahad Mustafa–Load Wedding,Syed Mohammad Ahmed–Cake Ahmed Ali Butt–Jawani Phir Nahi Ani 2 Adnan Malik-Cake
Lux Style Awards,Best Film Actress,2019,Viewers' Choice: Mehwish Hayat-Load Wedding Critics' Choice: Sohai Ali Abro,Motorcycle Girl,Aamina Sheikh–Cake Hajra Yamin–Pinky Memsaab Sanam Saeed–Cake
Lux Style Awards,Best Film Playback,2019,,Atif Aslam-'Thaam Lo'-Parwaaz Hai Junoon,Mulazim Hussain & Missal Zaidi-'Good Luck'-Load Wedding Arif Lohar-'Tillay Wali Jooti'-Jawani Phir Nahi Ani 2 Shuja Haider-'Donkey Nacha'-The Donkey King
Lux Style Awards,Best Television Play,2019,Suno Chanda (Hum TV),,Dil Mom Ka Diya (ARY Digital) Aisi Hai Tanhai (ARY Digital) Dar Si Jaati Hai Sila (Hum TV) Khaani (Geo TV)
Lux Style Awards,Best Television Director,2019,Kashif Nisar,Dar Si Jaati Hai Sila-(Hum TV),Shahid Shafaat-Dil Mom Ka Diya (ARY Digital) Anjum Shahzad-Khaani (Geo TV) Ahson Talish-Suno Chanda (Hum TV) Qasim Ali Mureed-Aangan (ARY Digital)
Lux Style Awards,Best Television Actor,2019,Viewers' Choice: Feroze Khan,Khaani (Geo TV) Critics' Choice: Noman Ijaz (Dar Si Jaati Hai Sila-Hum TV),Qavi Khan-Aangan (ARY Digital) Sami Khan-Khudgarz (ARY Digital) Bilal Abbas-Balaa (ARY Digital)
Lux Style Awards,Best Television Actress,2019,Viewers' Choice: Iqra Aziz,Suno Chanda (Hum TV) Critics' Choice: Iqra Aziz-Suno Chanda (Hum TV),Sana Javed-Khaani (Geo TV) Sonya Hussain-Aisi Hai Tanhai (ARY Digital) Neelam Muneer-Dil Mom Ka Diya (ARY Digital) Ushna Shah-Balaa (ARY Digital)
Lux Style Awards,Best Television Writer,2019,Bee Gul,Dar Si Jaati Hai Sila-Hum TV,Zanjabeel Asim Shah-Balaa (ARY Digital) Faiza Iftikhar-Aangan (ARY Digital) Asma Nabeel-Khaani (Geo TV) Amna Mufti-Ghughi (TV One)
Lux Style Awards,Best Emergening Talent in Television,2019,Rida Bilal,Khudgarz (ARY),Osama Tahir-Dar Si Jaati Hai Sila (Hum TV) Nabeel Zubairi-Suno Chanda (Hum TV) Amar Khan-Belapur Ki Dayan (Hum TV) Zubab Rana-Mere Khudaya (ARY Digital)
Lux Style Awards,Best Television Track,2019,Khaani (Geo TV),,Naulakha (TV One) Ghughi (TV One) Dar Si Jaati Hai Sila (Hum TV) Aangan (Hum TV)
Lux Style Awards,Best Song of the Year,2019,Ya Qurban,Khumariyan,Rang De-Chand Tara Orchestra
Lux Style Awards,Best Singer of the Year,2019,Mohsin Abbas Haider & Sohail Asghar,Na Ja,Khurram-Oki Jane Bilal Ali of Kashmir-Khuwab Shamoon Ismail-Marijuana
Lux Style Awards,Best Emergening Talent in Music,2019,Saakin,,Abdullah Sidiqui Nehaal Naseem Amna Aslam Sami Imiri
Lux Style Awards,Best Film,2020,,Laal Kabootar,Baaji Parey Hut Love Ready Steady No Superstar
Lux Style Awards,Best Film Director,2020,Kamal Khan,Laal Kabootar,Asim Raza - Parey Hut Love Mohammed Ehteshamuddin - Superstar Hisham Bin Munawar - Ready Steady No Saqib Malik - Baaji
Lux Style Awards,Best Film Actor,2020,Viewers' Choice: Ahmed Ali Akbar,Laal Kabootar,Critics' Choice: Rashid Farooqui - Laal Kabootar Nadeem Baig - Superstar Salman Shahid - Ready Steady No Sheheryar Munawar - Parey Hut Love
Lux Style Awards,Best Film Actress,2020,Viewers' Choice: Mahira Khan,Superstar,Critics' Choice: Mahira Khan - Superstar Mansha Pasha - Laal Kabootar Maya Ali - Parey Hut Love Amna Ilyas - Baaji Meera - Baaji
Lux Style Awards,Best Film Playback,2020,,Ali Tariq - 'Behka Na' from Parey Hut Love,Ali Sethi - ‘Bekaraan’ from Superstar Jabbar Abbas - ‘Jugart’ from Laal Kabootar Mai Dhai - ‘Raag Murli’ from Laal Kabootar Zeb Bangash - ‘Gudi Wang’ for Baaji
Lux Style Awards,Best Television Play,2020,Meray Paas Tum Ho (ARY Digital),,Aangan (Hum TV) Cheekh (ARY Digital) Ishq Zahe Naseeb (Hum TV) Ranjha Ranjha Kardi (Hum TV)
Lux Style Awards,Best Television Director,2020,Kashif Nisar,Ranjha Ranjha Kardi (Hum TV) ),Kashif Nisar - Inkaar (Hum TV) Mohammed Ehteshamuddin - Aangan (Hum TV) Farooq Rind - Ishq Zahe Naseeb (Hum TV) Nadeem Baig - Meray Paas Tum Ho (ARY Digital)
Lux Style Awards,Best Television Actor,2020,Viewers' Choice: Imran Ashraf,Ranjha Ranjha Kardi (Hum TV),Critics' Choice: Zahid Ahmed - Ishq Zahe Naseeb (Hum TV) Humayun Saeed - Meray Paas Tum Ho (ARY Digital) Rehan Sheikh - Inkaar (Hum TV) Bilal Abbas Khan - Cheekh (ARY Digital )
Lux Style Awards,Best Television Actress,2020,Viewers' Choice: Yumna Zaidi,Inkaar (Hum TV),Critics' Choice: Iqra Aziz - Ranjha Ranjha Kardi (Hum TV) Saba Qamar - Cheekh (ARY Digital) Sajal Aly - Aangan (Hum TV) Ayeza Khan - Meray Paas Tum Ho (ARY Digital)
Lux Style Awards,Best Television Writer,2020,Faiza Iftikhar,Ranjha Ranjha Kardi (Hum TV),Khalil-ur-Rehman Qamar - Meray Paas Tum Ho (ARY Digital) Sarwat Nazir - Khaas (Hum TV) Hashim Nadeem - Ishq Zahe Naseeb (Hum TV) Zafar Mairaj - Inkaar (Hum TV)
Lux Style Awards,Best Emerging Talent in Television,2020,Shees Sajjad Gul,Meray Paas Tum Ho (ARY Digital),Saheefa Jabbar Khattak - Beti (ARY Digital) Haroon Shahid - Do Bol (ARY Digital) Naimal Khawar - Anaa (Hum TV) Usman Mukhtar - Anaa (Hum TV)
Lux Style Awards,Best Television Track,2020,Ranjha Ranjha Kardi by JB Sisters & Rahma Ali (Hum TV),,Ishq Zahe Naseeb - Naveed Nashad (Hum TV) Kaisa Hai Naseeban - Zeb Bangash (ARY Digital) Ramz-e-Ishq - Shani Arshad (Geo TV) Khaas - Natasha Baig (Hum TV)
Lux Style Awards,Best Television Play,2021,Ehd,e-Wafa (Hum TV),Deewangi (Geo TV) Yeh Dil Mera (Hum TV) Pyar Ke Sadqay (Hum TV) Raaz-e-Ulfat (Geo TV) Sabaat (Hum TV) Alif (Geo TV)
Lux Style Awards,Best Television Director,2021,Farooq Rind,Pyar Ke Sadqay (Hum TV),Zeeshan Ahmed - Deewangi (Geo TV) Siraj-ul-Haque - Raaz-e-Ulfat (Geo TV) Haseeb Hassan - Alif (Geo TV) Saife Hassan - Ehd-e-Wafa (Hum TV)
Lux Style Awards,Best Television Actor (Viewers' Choice),2021,Danish Taimoor,Deewangi (Geo TV),Ahad Raza Mir - Ehd-e-Wafa (Hum TV) Ahad Raza Mir - Yeh Dil Mera (Hum TV) Imran Ashraf - Kahin Deep Jaley (Geo TV) Bilal Abbas Khan - Pyar Ke Sadqay (Hum TV) Hamza Ali Abbasi - Alif (Geo TV) Faysal Qu
Lux Style Awards,Best Television Actress (Viewers' Choice),2021,Yumna Zaidi,Pyar Ke Sadqay (Hum TV),Sajal Aly - Alif (Geo TV) Saboor Aly - Fitrat (Geo TV) Yumna Zaidi - Raaz-e-Ulfat (Geo TV) Ayeza Khan - Mehar Posh (Geo TV) Mawra Hocane - Sabaat (Hum TV) Hiba Bukhari - Deewangi (Geo TV)
Lux Style Awards,Best Television Actor (Critics' Choice),2021,Bilal Abbas Khan,Pyar Ke Sadqay (Hum TV),Ahad Raza Mir - Ehd-e-Wafa (Hum TV) Ahad Raza Mir - Yeh Dil Mera (Hum TV) Hamza Ali Abbasi - Alif (Geo TV) Faysal Quraishi - Muqaddar (Geo TV)
Lux Style Awards,Best Television Actress (Critics' Choice),2021,Yumna Zaidi,Pyar Ke Sadqay (Hum TV),Hira Mani - Kashf (Hum TV) Mawra Hocane - Sabaat (Hum TV) Sajal Aly - Alif (Geo TV) Urwa Hocane - Mushk (Hum TV)
Lux Style Awards,Best Television Writer,2021,Umera Ahmad,Alif (Geo TV),Farhat Ishtiaq - Yeh Dil Mera (Hum TV) Maha Malik - Raaz-e-Ulfat (Geo TV) Mustafa Afridi - Ehd-e-Wafa (Hum TV) Zanjabeel Asim Shah - Pyar Ke Sadqay (Hum TV)
Lux Style Awards,Best Emerging Talent in Television,2021,Adnan Samad Khan,Ehd-e-Wafa (Hum TV),Ameer Gillani - Sabaat (Hum TV) Dur-e-Fishan Saleem - Dil Ruba (Hum TV) Nazish Jahangir - Kahin Deep Jaley (Geo TV) Pehlaaj Hassan - Alif (Geo TV)
Lux Style Awards,Best Television Track,2021,Ehd,e-Wafa by Rahat Fateh Ali Khan (Hum TV),"Raaz-e-Ulfat - Aima Baig and Shani Arshad (Geo TV) Yeh Dil Mera - Sajal Aly and Naveed Nashad (Hum TV) Pyar Ke Sadqay - Ahmed Jahanzeb, Alia Khan and Mahnoor Khan (Hum TV) Fitrat - Sahir Ali Bagga and"
Lux Style Awards,Best Singer,2021,Me,Yeh Janu Na,Abbas Ali Khan - Baluch Twins - Tazhn Teehaar Khurram Iqbal - Dio Behelta Hai Kahan Meesha Shafi - Sakal Ban Mohammad Aziz - Todi Zeeshan Ali - Surkhwaab's Sanval
Lux Style Awards,Best Song,2021,Teri Tasveer,,- Bayaan Ayi Re - Haniya Aslam Haiderum - Gul Mohammad and Khurram Iqbal Lighten Up - Sajid and Zeeshan Mein Ye Janoun Na - Abbas Ali Khan Tazhn Teehaar - Baluch Twins
Lux Style Awards,Best Film,2022,,Khel Khel Mein,Kahay Dil Jidhar Sheenogai
Lux Style Awards,Best Film Actor,2022,Bilal Abbas Khan,,- Khel Khel Mein Junaid Khan - Kahay Dil Jidhar Faizan Sheikh - Udham Patakh
Lux Style Awards,Best Film Actress,2022,Sajal Ali,,- Khel Khel Mein Mansha Pasha - Kahay Dil Jidhar Marina Syed - Sheenogai
Lux Style Awards,Best Film Song,2022,,"Nayi Soch"" from","Khel Khel Mein - Shuja Haider, Jabir Abbas, Nida Hussain, Fabiha Hashmi, Maria, Panah, Shehryar & Safeer ""Mastam"" from Kahay Dil Jidhar"
Lux Style Awards,Best Television Play (Viewers' Choice),2022,Parizaad,,(Hum TV) Ishq Hai (ARY Digital) Khuda Aur Mohabbat (Geo TV) Chupke Chupke (Hum TV) Fitoor (Geo TV)
Lux Style Awards,Best Ensemble Play (Critics' Choice),2022,Dil Na Umeed To Nahi,,(TV One) Parizaad (Hum TV) Raqeeb Se (Hum TV) Chupke Chupke (Hum TV)
Lux Style Awards,Best Television Actor (Viewers' Choice),2022,Feroze Khan,Khuda Aur Mohabbat,(Geo TV) Bilal Abbas Khan - Dunk (ARY Digital) Imran Ashraf - Raqs-e-Bismil (Hum TV) Danish Taimoor - Ishq Hai (ARY Digital) Ahmed Ali Akbar - Parizaad (Hum TV)
